TURN_ID,MANUAL PARAPHRASE,RAW PARAPHRASE
47_6,What is the Boise Greenbelt's history?,What is the Boise Greenbelt's history?
47_6,What are the origins of the Boise Greenbelt?,What are the origins of the Boise Greenbelt?
47_6,What was the Boise Greenbelt used for? What are some historical facts about it?,What was the Boise Greenbelt used for? What are some historical facts about it?
47_6,What are some of the best-known facts about the Boise Greenbelt?,What are some of the best-known facts about the Boise Greenbelt?
47_7,Why is the Boise Greenbelt controversial?,Why is it controversial?
47_7,What are some of the controversies surrounding the Boise Greenbelt?,What are some of the controversies surrounding it?
47_7,Why is the Boise Greenbelt so contentious?,Why is it so contentious?
47_7,What is offensive about the Boise Greenbelt?,What is offensive about it?
47_7,What is the reason for the controversy surrounding the Boise Greenbelt?,What is the reason for the controversy surrounding it?
47_7,What is the debate surrounding the Boise Greenbelt?,What is the debate surrounding it?
48_1,What are the main benefits of virtual machines?,What are the main benefits of virtual machines?
48_1,What are the characteristics of a virtual machine?,What are the characteristics of a virtual machine?
48_1,What is a virtual machine? What can they be used for?,What is a virtual machine? What can they be used for?
48_1,What are the uses of a virtual machine?,What are the uses of a virtual machine?
48_1,What are the main operations of a virtual machine?,What are the main operations of a virtual machine?
48_1,What are virtual machines? What are the basic functions?,What are virtual machines? What are the basic functions?
48_1,What are some features of virtual machines?,What are some features of virtual machines?
48_1,What are some of the main functionalities of a virtual machine?,What are some of the main functionalities of a virtual machine?
48_1,What is a virtual machine?,What is a virtual machine?
48_2,What are the gains of using virtual machines?,What are the gains of using it?
48_2,What are the uses of a virtual machine?,What are their uses?
48_2,Why are virtual machines so helpful?,Why are they so helpful?
48_2,Why are virtual machines convenient?,Why are they convenient?
48_2,What are the pros of using virtual machines?,What are the pros of using it?
48_2,Why are virtual machines useful?,Why are they useful?
48_2,What are the positives of using a virtual machine?,What are the positives?
48_2,What are virtual machines' benefits?,What are their benefits?
48_3,What are virtual machines' problems?,What are their problems?
48_3,How can you describe the drawbacks of virtual machines?,How can you describe the drawbacks?
48_3,Describe some of a virtual machine's limitations.,Describe some of their limitations.
48_3,What are the difficulties of using virtual machines?,What are the difficulties of using it?
48_3,What are some of the cons of virtual machines?,What are some of the cons?
48_3,What are virtual machine disadvantages?,What are the disadvantages?
48_3,What are some negatives of virtual machines?,What are some negatives?
48_4,What is the functionality behind virtual machines?,What is the functionality behind them?
48_4,What is the technology behind virtual machines?,What is the technology it?
48_4,How are virtual machines running?,How are they running?
48_4,What makes virtual machines run?,What makes them run?
48_4,Can you explain how virtual machines operate?,Can you explain how they operate?
48_4,How do virtual machines function?,How do they function?
48_5,What are some subdivisions of virtual machines?,What are some subdivisions of VMs?
48_5,Which are the main classes of virtual machines?,Which are the main classes of VMs?
48_5,What are the main virtual machine classifications?,What are the main classifications?
48_5,What are the different forms of virtual machines?,What are the different forms?
48_5,What are some different varieties of virtual machines?,What are some different varieties of VMs?
48_5,What are the types of virtual machines out there?,What are the types out there?
48_5,What are the various kinds of virtual machines?,What are the various kinds?
48_6,How are virtual machines important for cloud computing?,How are virtual machines important for cloud computing?
48_6,How are virtual machines used in cloud computing?,How are virtual machines used in cloud computing?
48_6,What are the key jobs of virtual machines in cloud computing?,What are the key jobs of virtual machines in cloud computing?
48_6,What is the core functionality of virtual machines in cloud computing?,What is the core functionality of virtual machines in cloud computing?
48_6,What is the function of virtual machines in cloud computing?,What is the function of virtual machines in cloud computing?
48_7,How are virtual machines and container machines unlike each other?,How are they and container machines unlike each other?
48_7,How are containers and virtual machines different?,How are containers different?
48_7,How do a container and a virtual machine differ?,How do a container differ?
48_7,How are containers and virtual machines dissimilar?,How are containers dissimilar?
48_7,What are the variations between virtual machines and containers?,What are the variations them and containers?
48_7,Can you compare virtual machines and containers?,Can you compare them and containers?
48_7,How is a container distinct from a virtual machine?,How is a container distinct from VMs?
48_7,What is the difference between a virtual machine and a container?,What is the difference between it and a container?
48_8,What are some of the benefits of using docker?,What are some of the benefits of using docker?
48_8,How is a Docker helpful?,How is a Docker helpful?
48_8,What are the gains of using Docker?,What are the gains of using Docker?
48_8,What is the main purpose of Docker?,What is the main purpose of Docker?
48_8,How is using a Docker useful?,How is using a Docker useful?
48_8,What's the benefit of Docker?,What's the benefit of Docker?
48_8,What are the pros of using Docker?,What are the pros of using Docker?
48_9,What's the relationship between Kubernetes and Docker?,What's the relationship between it and Kubernetes?
48_9,Are Kubernetes and Docker the same thing?,Are they and Kubernetes the same thing?
48_9,Are Kubernetes and Docker related?,Are Kubernetes related to it?
48_9,How does Kubernetes work with Docker?,How does Kubernetes work with it?
48_9,How is Kubernetes different than Docker?,How is Kubernetes different?
48_9,Is Kubernetes part of Docker?,Is Kubernetes part of them?
48_9,Are there any connections between Docker and Kubernetes?,Are there any connections between it and Kubernetes?
48_9,Are Kurbenetes Docker related to Kubernetes?,Are they related to Kubernetes?
48_9,Why are Docker and Kubernetes related?,Why are they and Kubernetes related?
49_1,How did Netflix come into being?,How did Netflix come into being?
49_1,Can you tell me about the beginning of Netflix?,Can you tell me about the beginning of Netflix?
49_1,When did Netflix begin?,When did Netflix begin?
49_1,How was Netflix founded?,How was Netflix founded?
49_1,What is the origin of Netflix?,What is the origin of Netflix?
49_1,How did Netflix get started?,How did Netflix get started?
49_1,When did Netflix start?,When did Netflix start?
49_1,How did Netflix start?,How did Netflix start?
49_2,What was Netflix's original business model?,What was its original business model?
49_2,What was Netflix's business like originally?,What was its business like originally?
49_2,What was Netflix doing when it first started?,What was it doing when it first started?
49_2,How did Netflix start out?,How did it start out?
49_2,How did Netflix work in its early stages?,How did it work in its early stages?
49_2,How did Netflix begin?,How did it begin?
49_2,How did Netflix's services work in the beginning?,How did its services work in the beginning?
49_3,Is Netflix related to Blockbuster?,Is it related to Blockbuster?
49_3,How is Netflix linked to Blockbuster?,How is it linked to Blockbuster?
49_3,How were Netflix and Blockbuster related?,How were they and Blockbuster related?
49_3,What is the relationship between Netflix and Blockbuster?,What is the relationship between it and Blockbuster?
49_3,How is Netflix associated with Blockbuster?,How is it associated with Blockbuster?
49_3,What's Netflix's connection to Blockbuster?,What's its connection to Blockbuster?
49_3,Is Netflix like Blockbuster?,Is it like Blockbuster?
49_3,Does Netflix has a relationship with Blockbuster?,Does it have a relationship with Blockbuster?
49_4,How did Netflix officially become an online streaming service instead of DVDs? When was that?,How did Netflix officially become an online streaming service instead of DVDs? When was that?
49_4,When did Netflix change from DVDs to a streaming service?,When did Netflix change from DVDs to a streaming service?
49_4,When did Netflix turn from DVDs to streaming?,When did Netflix turn from DVDs to streaming?
49_4,When did Netflix transition from DVDs to streaming?,When did Netflix transition from DVDs to streaming?
49_4,What was Netflix's move from DVDs to streaming?,What was Netflix's move from DVDs to streaming?
49_4,When did Netflix change from DVDs to streaming?,When did Netflix change from DVDs to streaming?
49_4,When did Netflix drop DVDs for streaming?,When did Netflix drop DVDs for streaming?
49_4,When did Netflix come to stream video content instead of DVDs?,When did Netflix come to stream video content instead of DVDs?
49_5,What are the other streaming companies like Netflix and Blockbuster?,What are the other streaming companies like them?
49_5,What are some alternative streaming services to Netflix and Blockbuster?,What are some alternative streaming services?
49_5,What are Netflix's biggest competitors besides Blockbuster?,What are their other biggest competitors?
49_5,What are other streaming services like Netflix and Blockbuster?,What are other streaming services like them?
49_5,What are competitors for Netflix other than Blockbuster?,What are competitors other than those?
49_5,What is Netflix's primary competitor beyond Blockbuster?,What is its other primary competitor?
49_5,Are there any other services like Netflix and Blockbuster?,Are there any other services like the two?
49_5,Who are Netflix's other competitors other than Blockbuster?,Who are their other competitors?
49_5,Is there anything like Netflix other than Blockbuster?,Is there anything like it other than that?
49_6,Why is Netflix better than Amazon Prime Video?,Why is it better than Amazon Prime Video?
49_6,How does Amazon Prime Video compare to Netflix?,How does Amazon Prime Video compare?
49_6,How do Amazon Prime Video and Netflix differ?,How does Amazon Prime Video differ?
49_6,How does Amazon Prime Video compare to Netflix?,How does Amazon Prime Video compare to it?
49_6,What are the similarities and differences between Netflix and Amazon Prime Video?,What are the similarities and differences between it and Amazon Prime Video?
49_6,What's the difference between Netflix and Amazon Prime video streaming?,What's the difference between it and Amazon Prime video streaming?
49_6,Would you rather have Netflix or Amazon Prime Video?,Would you rather have it or Amazon Prime Video?
49_6,Is Netflix comparable to Amazon Prime Video? Why?,Is it comparable to Amazon Prime Video? Why?
49_6,How is Netflix compared to Amazon Prime Video?,How is it compared to Amazon Prime Video?
49_7,What is Netflix's subscriber growth in time?,What is its subscriber growth in time?
49_7,What are the reasons Netflix had a rapid subscriber growth rate?,What are the reasons it had a rapid subscriber growth rate?
49_7,What is the growth of Netflix subscribers?,What is the growth of its subscribers?
49_7,How is Netflix becoming a household name based on subscriber growth over time?,How is it becoming a household name based on subscriber growth over time?
49_7,How does Netflix grow in subscribers?,How does it grow in subscribers?
49_7,What is Netflix's subscriber growth rate?,What is its subscriber growth rate?
49_7,How many subscribers did Netflix gain over the years?,How many subscribers did it gain over the years?
49_7,Has Netflix had an uptick in subscribers?,Has it had an uptick in subscribers?
49_7,How has Netflix's subscriber base grown over time?,How has its subscriber base grown over time?
49_8,Has Netflix changed the way people watch movies and TV?,Has it changed the way people watch movies and TV?
49_8,How has Netflix adapted TV viewing?,How has it adapted TV viewing?
49_8,Is Netflix changing TV viewing habits? Why or why not?,Is it changing TV viewing habits? Why or why not?
49_8,How has Netflix changed TV?,How has it changed TV?
49_8,What's the evolution of TV viewing due to Netflix's growth?,What's the evolution of TV viewing due to its growth?
49_8,Why has Netflix changed the way TV is watched?,Why has it changed the way TV is watched?
49_8,How does Netflix change TV viewing habits?,How does it change TV viewing habits?
49_9,What are the effects of Netflix on the community?,What are the effects of it on the community?
49_9,What are the consequences of Netflix on community?,What are the consequences of it on community?
49_9,How has Netflix changed the community?,How has it changed the community?
49_9,How does Netflix shape society?,How does it shape society?
49_9,How has Netflix had an impact on society?,How has it had an impact on society?
49_9,What are the impacts of Netflix on society?,What are the impacts of it on society?
49_9,How did Netflix influence society?,How did it influence society?
49_9,How has Netflix positively or negatively affected society?,How has it positively or negatively affected society?
49_10,Were dating and relationships affected by Netflix?,Were dating and relationships affected by it?
49_10,Were dating and relationships changed because of Netflix?,Were dating and relationships changed because of it?
49_10,How has Netflix played a role in dating relationships?,How has it played a role in dating relationships?
49_10,Does watching Netflix affect dating?,Does watching it affect dating?
49_10,How has Netflix affected dating and relationships?,How has it affected dating and relationships?
49_10,Does Netflix negatively or positively affect relationships or dating?,Does it negatively or positively affect relationships or dating?
49_10,Has Netflix helped the dating and relationship experience?,Has it helped the dating and relationship experience?
49_10,Has Netflix changed dating and relationships?,Has it changed dating and relationships?
49_10,How does Netflix influence relationships and dating?,How does it influence relationships and dating?
49_10,Has Netflix been influential to relationships and dating?,Has it been influential to relationships and dating?
50_1,What was the inaugural artificial satellite?,What was the inaugural artificial satellite?
50_1,What is the first artificial satellite of its kind?,What is the first artificial satellite of its kind?
50_1,What is the earliest launched artificial satellite?,What is the earliest launched artificial satellite?
50_1,What is the original artificial Earth satellite?,What is the original artificial Earth satellite?
50_1,When was the first satellite named?,When was the first satellite named?
50_1,What's the name of the first artificial satellite?,What's the name of the first artificial satellite?
50_2,What kind of orbit would an artificial satellite have?,What kind of orbit would a satellite have?
50_2,What are the various types of orbits for a satellite?,What are the various types of orbits?
50_2,What are the different types of orbits for satellites?,What are the different types of orbits?
50_2,How do satellites rotate in different orbits? How is the orbit determined?,How do they rotate in different orbits? How is the orbit determined?
50_2,Can you list the types of satellite orbits?,Can you list the types of orbits?
50_2,What are the different types of orbits of satellites?,What are the different types of orbits?
50_2,What are the varieties of satellite orbits?,What are the varieties of orbits?
50_2,What kinds of satellite orbits are there?,What kinds of orbits are there?
50_2,How many satellite orbits are there? What are they called?,How many orbits are there? What are they called?
50_2,What are the different kinds of satellite orbits?,What are the different kinds of orbits?
50_3,What are the categories of artificial satellites?,What are the categories of satellites?
50_3,How many important classes of artificial satellites are there?,How many important classes of satellites are there?
50_3,What are the main classes of artificial satellites?,What are the main classes of satellites?
50_3,What are the important divisions of artificial satellites and their properties?,What are the important divisions of satellites and their properties?
50_3,What are all the important categories of artificial satellites?,What are all the important categories of satellites?
50_3,How can we differentiate between different classes of artificial satellites?,How can we differentiate between different classes of satellites?
50_3,What are the classifications of artificial satellites?,What are the classifications of satellites?
50_4,Can you explain how satellite navigation devices work?,Can you explain how navigation devices work?
50_4,How do satellite navigation systems know where we are?,How do navigation systems know where we are?
50_4,What is the technology behind satellite navigation systems?,What is the technology behind navigation systems?
50_4,How do GPS satellite navigation systems work?,How do GPS navigation systems work?
50_4,How do satellite navigation systems identify locations?,How do navigation systems identify locations?
50_4,How do satellite navigation systems function?,How do navigation systems function?
50_5,"What is the Galileo satellite system, and what are the unique services that it offers?","What is the Galileo satellite system, and what are the unique services that it offers?"
50_5,Why is the Galileo device helpful?,Why is the Galileo device helpful?
50_5,What is the Galileo system? What are the benefits?,What is the Galileo system? What are the benefits?
50_5,Can you describe the Galileo system? Why is it so significant?,Can you describe the Galileo system? Why is it so significant?
50_5,What is the Galileo system? How is it such an important technology?,What is the Galileo system? How is it such an important technology?
50_5,Why is the Galileo system useful? I'd like to learn more about it.,Why is the Galileo system useful? I'd like to learn more about it.
50_5,What is the Galileo system? Why is it an important technology in the modern world?,What is the Galileo system? Why is it an important technology in the modern world?
50_6,Why did the Galileo system create friction with the US?,Why did it create friction with the US?
50_6,Why has Galileo created tension with the US?,Why has it created tension with the US?
50_6,When and how did the Galileo System create tensions between the US and Europe?,When and how did it create tensions between the US and Europe?
50_6,Why does the Galileo system create so many disputes between the USA and Europe?,Why does it create so many disputes between the USA and Europe?
50_6,How did the Galileo system cause stress with the USA?,How did it cause stress with the USA?
50_6,What was the reason behind the Galileo system's failure and conflict with the US?,What was the reason behind its failure and conflict with the US?
50_6,Why is the USA angry at the Galileo system?,Why is the USA angry at it?
50_6,Why did the Galileo system create a significant dispute with the United States?,Why did it create a significant dispute with the United States?
50_6,Why should the US call the Galileo system a security concern?,Why should the US call it a security concern?
50_6,"Why was Galileo so controversial, and why did it cause tension in the US?","Why was it so controversial, and why did it cause tension in the US?"
50_7,Can you describe CubeSat?,Can you describe CubeSat?
50_7,"What are CubeSats, and how are they used?","What are CubeSats, and how are they used?"
50_7,What are CubeSats used for?,What are CubeSats used for?
50_7,What does a CubeSat do?,What does a CubeSat do?
50_7,What does CubeSat mean?,What does CubeSat mean?
50_7,Can you define CubeSat? What is it used for?,Can you define CubeSat? What is it used for?
50_8,What are the benefits of using CubeSats?,What are the benefits of using it?
50_8,What are the gains of CubeSats?,What are the gains?
50_8,What improvements does CubeSat offer?,What improvements does it offer?
50_8,Why are CubeSats helpful?,Why are they helpful?
50_8,What are CubeSats' positive features?,What are their positive features?
50_8,What are CubeSats useful for?,What are they useful for?
50_8,What are the pros of a CubeSat?,What are the pros?
50_8,What are the Cubesat's benefits?,What are their benefits?
50_9,What are CubeSat's operations?,What are their operations?
50_9,What does a CubeSat do?,What does it do?
50_9,What are the applications of CubeSat?,What are the applications?
50_9,What are CubeSat's uses?,What are their uses?
50_9,What is the purpose of CubeSats?,What is the purpose of it?
50_10,What will be the future of CubeSats?,What will be the future?
50_10,How are CubeSats going to develop next?,How are they going to develop next?
50_10,What are CubeSats' future plans?,What are their future plans?
50_10,What is the future for CubeSats?,What is the future for them?
50_10,What's next for CubeSats?,What's next for it?
50_10,What can be in CubeSats' future?,What can be in their future?
50_10,What are CubeSats' prospects?,What are its prospects?
50_10,How is CubeSats' outlook?,How is its outlook?
50_10,What will CubeSats' future look like?,What will its future look like?
51_1,How do I save money for a child's college education in the United States?,How do I save money for a child's college education in the United States?
51_1,How can I save for a child's college education in the US?,How can I save for a child's college education in the US?
51_1,What can I do to save for my kid's college in America?,What can I do to save for my kid's college in America?
51_1,How do I save to pay for my children's college education in the USA?,How do I save to pay for my children's college education in the USA?
51_1,How can I start a college fund for my kids in the US?,How can I start a college fund for my kids in the US?
51_1,What is the best way to save money for my children's college education in the US?,What is the best way to save money for my children's college education in the US?
51_1,How can I save for my kid's college fund in the United States?,How can I save for my kid's college fund in the United States?
51_1,How can I start saving for my child's college education in America?,How can I start saving for my child's college education in America?
51_2,What is a 529 plan for college savings?,What is a 529 plan for college savings?
51_2,What are the 529 plans?,What are the 529 plans?
51_2,What does the 529 plan do?,What does the 529 plan do?
51_2,How do I find out more about the 529 plan?,How do I find out more about the 529 plan?
51_2,I want to learn more about 529 plans.,I want to learn more about 529 plans.
51_2,Can you explain the 529 plan to me?,Can you explain the 529 plan to me?
51_3,What is the function of the 529 plan?,What is the function of the plan?
51_3,What is the process of 529 plans?,What is its process?
51_3,What happens with 529 plans?,What happens with the plans?
51_3,What does a 529 plan do?,What does it do?
51_3,How does the 529 plan apply?,How does it apply?
51_3,How does a 529 plan function?,How does it function?
51_4,What are the merits of a 529 plan?,What are the merits?
51_4,How is a 529 plan useful?,How is it useful?
51_4,How is the 529 plan helpful?,How is it helpful?
51_4,What are the positives of the 529 plan?,What are the positives?
51_4,What are some good outcomes of a 529 plan?,What are some good outcomes?
51_4,What are the benefits of doing a 529?,What are the benefits?
51_4,What are the benefits of my 529 plan?,What are the plan benefits?
51_4,What are some pros of a 529 plan?,What are some pros?
51_5,What are some of the disadvantages of a 529 plan?,What are some of the disadvantages of the plan?
51_5,How can a 529 plan be risky?,How can it be risky?
51_5,How is a 529 plan a bad choice?,How is it a bad choice?
51_5,What are some potential negatives of the 529 plan?,What are some potential negatives?
51_5,What are some cons of the 529 plan?,What are some cons?
51_5,What are some of the negatives of a 529 plan?,What are some of the negatives of the plan?
51_6,How long have 529 plans been available?,How long have it been available?
51_6,When did the 529 plan originate?,When did it originate?
51_6,How long has the 529 plan existed?,How long has it existed?
51_6,When was the origin of the 529 plan?,When was the origin of the plan?
51_6,When did the 529 plan start?,When did the plan start?
51_6,What is the story behind the 529 plan?,What is the story behind it?
51_7,"What are different 529 plans, and how are they different?","What are different plans, and how are they different?"
51_7,What are some of the 529 plans available?,What are some of the plans available?
51_7,What are the different types of 529 plans out there?,What are the different types out there?
51_7,What are the types of 529 plans? How do they differ?,What are the types ? How do they differ?
51_7,What are the multiple varieties of 529 plans?,What are the multiple varieties?
51_7,What are the different kinds of 529 plans?,What are the different kinds?
51_8,What can the funds from a 529 plan be utilized for?,What can the funds from the plan be utilized for?
51_8,What is the use of 529 plan fund money?,What is the use of the fund money?
51_8,How do you withdraw your 529 plan funds?,How do you withdraw your plan funds?
51_8,What are the qualified expenses for a 529 plan?,What are the qualified expenses for it?
51_8,How can I spend the 529 plan funds?,How can I spend the plan funds?
51_8,What expenses can the 529 funds pay for?,What expenses can it pay for?
51_8,What can the 529 plan money be used to pay for?,What can the money be used to pay for?
51_8,What expenses can the 529 plan be used for?,What expenses can it be used for?
51_9,What happens if 529 funds are not utilized?,What happens if the funds are not utilized?
51_9,What if the 529 money is not all used?,What if the money is not all used?
51_9,What happens if you don't use all of your 529 plan?,What happens if you don't use all of your plan?
51_9,What if there's still money in your 529 plan?,What if there's still money in your plan?
51_9,What would happen to leftover funds in the 529 plan?,What would happen to leftover funds in it?
51_9,What if the 529 plan funds are unused?,What if the plan funds are unused?
51_10,How are ESAs treated differently than 529 plans?,How are ESAs treated differently?
51_10,How is an ESA different from a 529 plan?,How is an ESA different?
51_10,What are the pros and cons of an ESA versus a 529 plan?,What are the pros and cons of an ESA versus that plan?
51_10,"Which is better, an ESA or a 529 plan?","Which is better, an ESA or that?"
51_10,What are the distinctions between a 529 and an ESA?,What are the distinctions between it and an ESA?
51_10,What is the difference between an ESA and a 529 account?,What is the difference between an ESA and that?
51_10,Can you compare the ESA and the 529 plan?,Can you compare the ESA?
51_10,How is an ESA different from a 529 plan?,How is an ESA different from that plan?
51_10,How do ESAs and 529 plans contrast?,How do ESAs contrast?
52_1,What is the AFRA system for tankers?,What is the AFRA system for tankers?
52_1,How is the AFRA tanker scale calculated?,How is the AFRA tanker scale calculated?
52_1,Can you explain AFRA rates for tankers?,Can you explain AFRA rates for tankers?
52_1,What is the tanker scale AFRA?,What is the tanker scale AFRA?
52_1,What is the AFRA scale for tankers?,What is the AFRA scale for tankers?
52_2,What is the AFRA scale used for?,What is it used for?
52_2,What was the AFRA scale's purpose?,What was the scale's purpose?
52_2,Why was the AFRA tanker rate used?,Why was the tanker rate used?
52_2,Why was the AFRA rate invented?,Why was it invented?
52_2,Why did the AFRA scale start its development?,Why did it start its development?
52_2,How was the AFRA tanker scale invented?,How was the scale invented?
52_2,How did the AFRA tanker scale begin?,How did it begin?
52_3,What is a supertanker?,What is a supertanker?
52_3,Can you define supertanker?,Can you define supertanker?
52_3,What does supertanker mean?,What does supertanker mean?
52_3,Tell me more about supertankers.,Tell me more about supertankers.
52_3,I want to learn more about supertankers.,I want to learn more about supertankers.
52_3,What makes a tanker a supertanker?,What makes a tanker a supertanker?
52_4,How were supertankers developed?,How were their developed?
52_4,What is the story behind the invention of supertankers?,What is the story behind the invention?
52_4,Why were supertankers invented?,Why were they invented?
52_4,How did supertankers originate?,How did they originate?
52_4,When were supertankers invented?,When were they invented?
52_4,Who invented supertankers?,Who invented them?
52_4,How were supertankers discovered?,How were they discovered?
52_5,What caused supertankers to go through all this important progress?,What caused them to go through all this important progress?
52_5,Which components contributed to the expansion of supertankers?,Which components contributed to their expansion?
52_5,What were the important circumstances leading to supertankers' advancement?,What were the important circumstances leading to their advancement?
52_5,What is the cause of supertankers' growth?,What is the cause of their growth?
52_5,What are the elements that influenced supertankers' evolution?,What are the elements that influenced their evolution?
52_5,What causes are responsible for the supertanker's invention?,What causes are responsible for the their invention?
52_5,What were the reasons that helped to develop supertankers?,What were the reasons that helped to develop them?
52_6,What are the implications of the Six-Day War on the development of supertankers?,What are the implications of the Six-Day War on the development?
52_6,What did the Six-Day War mean for the expansion of supertankers?,What did the Six-Day War mean for their expansion?
52_6,How did the Six-Day War affect supertankers?,How did the Six-Day War affect it?
52_6,What did the Six-Day War mean in the development of supertankers?,What did the Six-Day War mean in the development?
52_6,What was the role of the Six-Day War in the evolution of supertankers?,What was the role of the Six-Day War in their evolution?
52_6,How did the Six-Day War advance supertankers?,How did the Six-Day War advance it?
52_6,Why was the Six-Day War important for supertanker improvements?,Why was the Six-Day War important for their improvements?
52_6,What part did the Six-Day War play in the development of supertankers?,What part did the Six-Day War play in the development?
52_6,Was the Six-Day War influential to supertanker advancement?,Was the Six-Day War influential to its advancement?
52_7,What is VLCC ship capacity in barrels?,What is VLCC ship capacity in barrels?
52_7,What is the number of barrels that VLCC ships hold?,What is the number of barrels that VLCC ships hold?
52_7,How large are VLCC ships? How many barrels can they carry?,How large are VLCC ships? How many barrels can they carry?
52_7,What is the barrel capacity of VLCC ships?,What is the barrel capacity of VLCC ships?
52_7,How many barrels do VLCC ships hold?,How many barrels do VLCC ships hold?
52_7,How many barrels are in a VLCC ship?,How many barrels are in a VLCC ship?
52_8,What is the largest VLCC vessel in the world?,What is the largest in the world?
52_8,What VLCC ship holds the record for biggest?,What ship holds the record for biggest?
52_8,Which is the biggest VLCC ship?,Which is the biggest ship?
52_8,What is the largest VLCC vessel?,What is the largest vessel?
52_8,What is the world's largest VLCC ship?,What is the world's largest?
52_8,Which is the biggest VLCC ship in the world?,Which is the biggest ship in the world?
52_9,How does increased demand create challenges for VLCC ships?,How does increased demand create challenges?
52_9,Is demand increase creating new problems for VLCC ships?,Is demand increase creating new problems?
52_9,How is increased demand problematic for VLCC ships?,How is increased demand problematic?
52_9,What are the main reasons that larger scale causes problems for VLCC ships?,What are the main reasons that larger scale causes problems?
52_9,What are the challenges facing VLCC vessels because of increased scale?,What are the challenges facing vessels because of increased scale?
52_9,What problems were introduced for VLCC ships due to increased scale?,What problems were introduced for them due to increased scale?
52_10,Explain crude oil washing for supertankers.,Explain crude oil washing.
52_10,How would you describe crude oil washing for a supertanker?,How would you describe crude oil washing?
52_10,How is the crude oil washing procedure related to supertankers?,How is the crude oil washing procedure related to them?
52_10,What is the crude oil washing process for supertankers?,What is the crude oil washing process?
52_10,I want to understand crude oil washing for supertankers.,I want to understand crude oil washing.
52_10,What is supertankers' crude oil washing?,What is their crude oil washing?
52_10,What is crude oil washing for a supertanker?,What is crude oil washing?
52_10,Explain crude oil washing methods for supertankers.,Explain crude oil washing methods.
53_1,Why is Red Bull bad for health?,Why is Red Bull bad for health?
53_1,Is drinking Red Bull bad for your health?,Is drinking Red Bull bad for your health?
53_1,Is Red Bull bad?,Is Red Bull bad?
53_1,Is Red Bull really that bad for your health?,Is Red Bull really that bad for your health?
53_1,Is it bad to drink Red Bull?,Is it bad to drink Red Bull?
53_1,Is Red Bull unhealthy?,Is Red Bull unhealthy?
53_1,Why is Red Bull bad for your health?,Why is Red Bull bad for your health?
53_2,Can Red Bull really kill you?,Can it really kill you?
53_2,How fatal can Red Bull be?,How fatal can it be?
53_2,Can Red Bull be dangerous?,Can it be dangerous?
53_2,Does Red Bull kill you?,Does it kill you?
53_2,How can Red Bull be fatal?,How can it be fatal?
53_2,What is the danger of Red Bull?,What is the danger of it?
53_2,How can Red Bull harm you?,How can it harm you?
53_3,How many cans of Red Bull can you have in one day?,How many cans of it can you have in one day?
53_3,What is the maximum limit of Red Bulls an adult can have in a day?,What is the maximum limit an adult can have in a day?
53_3,What amount of Red Bull is acceptable in a day?,What amount is acceptable in a day?
53_3,How many Red Bulls are OK in a day?,How many are OK in a day?
53_3,How much Red Bull can I drink per day?,How much can I drink per day?
53_3,What number of Red Bulls is good to drink in one day?,What number is good to drink in one day?
53_3,How many Red Bulls can you drink daily?,How many can you drink daily?
53_4,What are taurine and Red Bull? How are they related?,What are taurine and Red Bull? How are they related?
53_4,What exactly is the use of taurine in Red Bull?,What exactly is the use of taurine in it?
53_4,What is taurine for in Red Bull?,What is taurine for in it?
53_4,What does taurine mean?,What does taurine mean?
53_4,Why is taurine in Red Bull so important?,Why is taurine in it so important?
53_4,What is taurine? And what is it used for?,What is taurine? And what is it used for?
53_4,How is taurine used?,How is taurine used?
53_4,How does taurine work?,How does taurine work?
53_4,What is taurine and why is it in energy drinks?,What is taurine and why is it in energy drinks?
53_4,Tell me about taurine.,Tell me about taurine.
53_5,Is taurine good for you?,Is it good for you?
53_5,Does taurine have any positive effects on your health?,Does it have any positive effects on your health?
53_5,Is taurine healthy?,Is it healthy?
53_5,What are the health outcomes of taurine?,What are the health outcomes?
53_5,Does taurine have any health benefits?,Does it have any health benefits?
53_5,What are the effects of taurine on your body?,What are the effects of it on your body?
53_5,Why is taurine good for your health?,Why is it good for your health?
53_6,What are the health benefits of energy drinks?,What are the health benefits of energy drinks?
53_6,Does an energy drink really affect your health?,Does an energy drink really affect your health?
53_6,What are the positive and negative impacts of energy drinks?,What are the positive and negative impacts of energy drinks?
53_6,What are the results of drinking energy drinks?,What are the results of drinking energy drinks?
53_6,What are the side effects of drinking energy drinks?,What are the side effects of drinking energy drinks?
53_6,What is the health effect of energy drinks?,What is the health effect of energy drinks?
53_6,What are the side effects of energy drinks?,What are the side effects of energy drinks?
53_6,What happens when you consume energy drinks?,What happens when you consume energy drinks?
53_6,What are the beneficial and adverse effects of drinking energy drinks?,What are the beneficial and adverse effects of drinking energy drinks?
53_6,What are the outcomes of drinking energy drinks?,What are the outcomes of drinking energy drinks?
53_7,Is it harmful to drink energy drinks with alcohol?,Is it harmful to drink it with alcohol?
53_7,Why is it harmful to drink energy drinks with alcohol?,Why is it harmful to drink it with alcohol?
53_7,Why are energy drinks bad for your health if they are mixed with alcohol?,Why are they bad for your health if they are mixed with alcohol?
53_7,Why do energy drinks cause health problems if mixed with alcohol?,Why do they cause health problems if mixed with alcohol?
53_7,What are the dangers of mixing energy drinks with alcohol?,What are the dangers of mixing it with alcohol?
